month,weak,turnaround,hold_1m,replace_1m,diff_1m,hold_3m,replace_3m,diff_3m,hold_6m,replace_6m,diff_6m
2018-06-30,ADRO.JK,EXCL.JK,-0.05039781193273174,0.1999999722101644,0.25039778414289615,-0.010609821604623093,0.5142856428261373,0.5248954644307604,-0.3183023980517986,-0.02857149407604065,0.28973090397575796
2018-07-31,ADRO.JK,PGAS.JK,0.06424586573962343,-0.14786960733186494,-0.21211547307148837,0.025139770939953454,0.12781953011469582,0.10267975917474237,-0.3020986244730659,0.06265668320714868,0.3647553076802146
2018-09-30,ADRO.JK,ESSA.JK,-0.016085877122643977,0.22727283620271943,0.2433587133253634,-0.31099214765422545,0.06363641810135978,0.37462856575558523,-0.27779047968323245,0.6727273135760197,0.9505177932592521
2018-10-31,ADRO.JK,BRPT.JK,-0.10081743335792126,0.019021656863753567,0.11983909022167483,-0.3192134425854667,0.30750604443955254,0.6267194870250192,-0.24917367894343645,0.9475823217007997,1.1967560006442362
2018-11-30,ADRO.JK,ESSA.JK,-0.2212122729519137,-0.21999990553953497,0.0012123674123787342,-0.13383313122252727,0.3533335427573099,0.48716667397983715,-0.18680024122668548,0.20666675600136974,0.3934669972280552
2019-01-31,ADRO.JK,EXCL.JK,0.1440327951913729,0.0959595468361425,-0.048073248355230414,0.10288065015270664,0.35353530441190006,0.2506546542591934,0.1707061101537093,0.5050507506677719,0.33434464051406265
2019-06-30,ADRO.JK,CPIN.JK,0.050193031933696064,-0.011362092094915233,-0.0615551240286113,-0.13127409674735246,0.05029726469195772,0.18157136143931019,-0.05019294594873691,0.4056213735593457,0.4558143195080826
2019-07-31,ADRO.JK,CPIN.JK,-0.06617627131799642,0.13636371401151526,0.20253998532951167,-0.05147038776100554,0.13107815042628346,0.182548538187289,0.14338254890027846,0.3742071284500601,0.23082457954978164
2019-08-31,ADRO.JK,CPIN.JK,-0.11417336676654022,-0.06511623478760653,0.04905713197893369,0.03149597117231995,0.17209282748204968,0.14059685630972973,0.008749343623873251,0.2372091624871786,0.22845981886330535
2019-09-30,ADRO.JK,ESSA.JK,0.1466668435077847,0.007936430103646419,-0.13873041340413828,0.09333340987650396,0.05555553376235434,-0.03777787611414962,0.07369375202843553,-0.34523817462761397,-0.4189319266560495
2019-10-31,AKRA.JK,ITMG.JK,0.042105432187009795,0.07258067159998638,0.030475239412976585,0.03947374940298243,-0.02279766455365062,-0.06227141395663305,-0.48026312529850856,-0.3102101379285618,0.17005298736994678
2019-11-30,ADRO.JK,ESSA.JK,-0.06106869969464446,-0.13071896550944362,-0.06965026581479916,-0.022052075998507892,-0.23529412714859288,-0.213242051150085,-0.2655411311783805,-0.5098039870236407,-0.2442628558452602
2019-12-31,AKRA.JK,ESSA.JK,0.16176474610887204,0.007518723411318984,-0.15424602269755305,-0.22058805967102157,-0.3796993105245775,-0.15911125085355593,-0.2944837123078935,-0.4436090169679482,-0.1491253046600547
2020-01-31,ADRO.JK,PTBA.JK,-0.1761339419825918,-0.16917295152851997,0.006960990454071836,-0.3341816976719939,-0.18045120371740475,0.15373049395458915,-0.3044725237079903,-0.12385431360472954,0.18061821010326073
2020-02-29,ADRO.JK,ITMG.JK,-0.05714285962620247,0.12437818814211155,0.18152104776831401,-0.248979571615207,-0.28358197981744593,-0.03460240820223892,-0.07941414751238485,-0.16030261041892702,-0.08088846290654217
2020-03-31,ADRO.JK,MIKA.JK,-0.1428571165186303,-0.13306448694846673,0.00979262957016358,-0.047618977383013794,-0.04435497088047324,0.0032640065025405507,-0.023621062971801776,-0.03584771004860965,-0.012226647076807873
2020-04-30,ADRO.JK,CPIN.JK,-0.07070707179342317,-0.0688257926180067,0.0018812791754164726,0.0446205426617543,0.1285425136531939,0.08392197099143961,0.1916023864675922,0.16411758342939975,-0.02748480303819245
2020-05-31,ADRO.JK,CPIN.JK,0.1956522267472145,0.2554347036921323,0.059782476944917784,0.22578004231856075,0.3532605411704861,0.12748049885192536,0.27097014542766606,0.2887121637591805,0.017742018331514453
2020-06-30,ADRO.JK,BBNI.JK,-0.05984155204963293,0.1958224562971047,0.25566400834673764,0.02519780827348872,0.3315928382498343,0.3063950299763456,0.3133872140510856,0.5665794810899338,0.25319226703884823
2020-07-31,ADRO.JK,PGAS.JK,0.09045215783415594,0.114537475296969,0.02408531746281306,0.1407035739803848,-0.18502202125619838,-0.3257255952365832,0.43718601294350456,0.45814990118787624,0.020963888244371676
2020-08-31,ADRO.JK,BBNI.JK,0.0,0.10869579618778857,0.10869579618778857,0.036866404696578536,0.03043471581077073,-0.006431688885807807,0.10599081908768726,0.20652168857237285,0.10053086948468559
2020-09-30,ADRO.JK,BMRI.JK,0.04608310028569962,-0.16638654402746234,-0.21246964431316195,0.28110614698145886,0.06302519242672289,-0.21808095455473597,0.08755771115437438,0.03361315579825641,-0.053944555356117974
2020-10-31,ADRO.JK,BRPT.JK,-0.008810672485392246,0.13924043082385684,0.1480511033092491,0.2599119050083891,0.39240509309584626,0.13249318808745714,0.03524232891871626,0.21518981380830837,0.1799474848895921
2020-11-30,AKRA.JK,BRPT.JK,0.08582091405912462,0.16666685038141948,0.08084593632229486,0.05970153021854885,-0.01666660236650319,-0.07636813258505204,0.2201494181309258,0.11111109580154865,-0.10903832232937716
2020-12-31,AKRA.JK,ESSA.JK,0.09278358557048638,0.26506011779699756,0.17227653222651118,0.15807555781598692,0.27710829143536664,0.11903273361937972,0.13937574951677334,1.132530009273018,0.9931542597562446
2021-01-31,ADRO.JK,ESSA.JK,-0.16083926203201726,-0.09047625174622376,0.0703630102857935,-0.17832165502728292,0.6666667712740413,0.8449884263013242,-0.11015978599017318,0.7333334170192332,0.8434932030094063
2021-02-28,ADRO.JK,KLBF.JK,-0.016666601218731647,0.0034130275622952233,0.02007962878102687,0.037500044817607714,-0.017064768606016578,-0.05456481342362429,0.17479234081596728,-0.12351602480912971,-0.298308365625097
2021-08-31,ADRO.JK,TPIA.JK,-0.056179732008185934,-0.16489358414410593,-0.10871385213592,0.2584269271017532,-0.19148935055732397,-0.44991627765907716,0.8029035534809716,-0.06117014227507456,-0.8640736957560462
2021-09-30,ANTM.JK,BRPT.JK,-0.041841025014119126,-0.09389677029181542,-0.0520557452776963,-0.03765685490515236,-0.1361502472760745,-0.09849339237092214,-0.07112972408557838,-0.16431928997146195,-0.09318956588588356
2021-10-31,ADRO.JK,SMGR.JK,-0.04545441517459203,0.1097560983989816,0.15521051357357363,0.37364868872124557,-0.11585365560356453,-0.4895023443248101,0.6422735960395858,-0.18902434205856256,-0.8312979380981483
2021-11-30,AKRA.JK,ESSA.JK,-0.07025762343126152,0.047904217019377304,0.11816184045063882,-0.14519899676161185,0.7814370406792943,0.9266360374409062,0.2529272086476968,2.7125748951970388,2.459647686549342
2021-12-31,ANTM.JK,SMGR.JK,-0.021739235953219138,-0.09374994717420004,-0.0720107112209809,-0.034782675338875024,-0.10000001408687975,-0.06521733874800473,0.09130420343243717,-0.0632727710188924,-0.15457697445132956
2022-01-31,AKRA.JK,BRPT.JK,-0.11192219896309363,0.04093580568864974,0.15285800465174337,0.10705580789601421,0.058479650117883475,-0.048576157778130735,0.27427910192464,-0.11356355652950656,-0.38784265845414656
2022-05-31,ANTM.JK,ESSA.JK,-0.03461539852239415,-0.05241928068966473,-0.01780388216727058,-0.23624264293120256,-0.160580026163349,0.07566261676785357,-0.279216297596653,-0.13624914260130683,0.14296715499534618
2022-06-30,ADRO.JK,SMGR.JK,-0.12538227962387305,-0.023972640335729323,0.10140963928814373,0.08256870370362557,-0.09589041095890394,-0.1784591146625295,0.18348619591550985,0.041095890410958846,-0.142390305504551
2022-08-31,ANTM.JK,BRPT.JK,0.017902735164341266,-0.08888885239999844,-0.10679158756433971,-0.05626610895164119,-0.08333335043750056,-0.027067241485859372,0.1815855509929991,-0.07947369245653524,-0.26105924344953435
2022-09-30,ANTM.JK,ESSA.JK,-0.02512559308298945,-0.10762333156313342,-0.08249773848014397,-0.002512552041126992,-0.04484318215638561,-0.042330630115258616,2.220446049250313e-16,-0.04035879341485671,-0.04035879341485693
2022-10-31,ANTM.JK,ESSA.JK,-0.04896915862142992,0.07035162575094756,0.11932078437237748,0.023195850543840768,-0.08040206498841473,-0.1035979155322555,0.07731955150926928,-0.003796213520529168,-0.08111576502979845
2022-11-30,ANTM.JK,MDKA.JK,0.07588082954351272,0.10079575596816981,0.02491492642465709,0.25203255091371113,0.2519893899204244,-4.3160993286717186e-05,0.13821142417301968,0.04509283819628651,-0.09311858597673317
2022-12-31,ANTM.JK,MDKA.JK,0.0,-0.0072289156626506035,-0.0072289156626506035,0.0025188808603742174,0.09397590361445807,0.09145702275408385,-0.04534000119627535,-0.27710843373493965,-0.2317684325386643
2023-02-28,ADRO.JK,ESSA.JK,0.010135351696812789,0.08080807211617147,0.07067272041935868,0.05743246042339756,-0.258344308556941,-0.3157767689803386,-0.09747325911135107,-0.3748902284578538,-0.27741696934650273
2023-03-31,ADRO.JK,ESSA.JK,-0.030100431543305328,-0.07362354809024452,-0.04352311654693919,-0.24370076930100248,-0.5216172549757407,-0.27791648567473826,-0.010137695403771296,-0.4069230138896083,-0.396785318485837
2023-04-30,ADRO.JK,GOTO.JK,0.07931025005371706,-0.04587155963302736,-0.12518180968674442,-0.1476036421421425,0.009174311926605894,0.1567779540687484,0.08938534928972808,-0.22018348623853168,-0.30956883552825976
2023-05-31,ADRO.JK,GOTO.JK,-0.27752871414192426,0.41346153846153855,0.6909902526034628,-0.14649230596980556,0.0865384615384619,0.23303076750826746,-0.0933694294327545,-0.4230769230769228,-0.3297074936441683
2023-06-30,ADRO.JK,EXCL.JK,0.09313724790688216,-0.015113341428623528,-0.10825058933550569,0.30882363014089576,0.259445855657072,-0.049377774483823744,0.2843136891157876,0.06801010548553554,-0.21630358363025204
2023-07-31,ADRO.JK,MDKA.JK,0.08071743171398738,0.1470588235294117,0.06634139181542431,0.27802675275084865,-0.05882352941176461,-0.33685028216261326,0.15694065140259839,-0.11764705882352933,-0.2745877102261277
2023-08-31,ADRO.JK,MDKA.JK,0.10788396829129865,-0.03703703703703698,-0.14492100532833563,0.062240653375025934,-0.36467236467236464,-0.42691301804739057,0.07952638186235439,-0.23076923076923073,-0.3102956126315851
2023-09-30,ADRO.JK,ESSA.JK,0.06741551350431974,0.31404957397558353,0.2466340604712638,-0.01872669507232949,-0.08264466820983829,-0.0639179731375088,-0.017476024544586077,-0.14876034081953315,-0.13128431627494708
2023-10-31,ADRO.JK,BRPT.JK,-0.10175433471427098,-0.134615449786612,-0.03286111507234102,-0.09474457485934662,0.023076834733704032,0.11782140959305065,0.026970522686599052,-0.2730769759380295,-0.30004749862462854
2023-11-30,ADRO.JK,GOTO.JK,0.02343754175426893,0.6166666666666667,0.5932291249123978,0.016272892995016663,0.4666666666666668,0.4503937736716501,0.1475415484470055,0.050000000000000266,-0.09754154844700524
2023-12-31,ADRO.JK,MDKA.JK,-0.015275683515810545,0.06719367588932812,0.08246935940513866,0.0012745384200945065,-0.10671936758893263,-0.10799390600902714,0.23624682379270245,0.06719367588932812,-0.16905314790337433
2024-01-31,ANTM.JK,GOTO.JK,-0.09090906869154425,0.023255813953488413,0.11416488264503266,-0.06158353638319514,-0.19767441860465107,-0.13609088222145593,-0.20537021060975236,-0.41860465116279055,-0.2132344405530382
2024-02-29,ANTM.JK,SIDO.JK,-0.05806446294070455,0.20588227405013204,0.2639467369908366,0.058064552551474025,0.4313724106142669,0.3733078580627929,-0.08045443054909984,0.459087864236319,0.5395422947854188
2024-03-31,ANTM.JK,ESSA.JK,0.09589037055923044,0.31067971764925106,0.21478934709002062,0.08758691745446145,0.5063034945442177,0.4187165770897563,0.031908373852794325,0.7410520753420573,0.709143701489263
2024-05-31,AMMN.JK,BRPT.JK,0.2448453608247423,0.044117600302871374,-0.2007277605218709,0.2190721649484535,0.07131302877475298,-0.1477591361737005,-0.054123711340206215,-0.022058290246899648,0.03206542109330657
2024-06-30,AMMN.JK,BRPT.JK,-0.08902691511387162,-0.06808636352615627,0.02094055158771535,-0.11801242236024856,0.07781930683085969,0.19583172919110825,-0.2546583850931675,-0.19516549577258935,0.05949288932057817
2024-07-31,AKRA.JK,BRPT.JK,-0.0648148059495296,0.101010101010101,0.1658249069596306,-0.010776282829573325,0.060606060606060774,0.0713823434356341,-0.2852060969422413,-0.0707070707070705,0.2144990262351708
2024-08-31,AKRA.JK,BRPT.JK,0.020249448213611965,0.050458715596330306,0.03020926738271834,-0.07870436814525106,-0.0871559633027521,-0.008451595157501046,-0.2424903161651767,-0.15596330275229342,0.08652701341288327
2024-09-30,AMMN.JK,GOTO.JK,-0.12910798122065725,0.26923076923076916,0.3983387504514264,-0.15492957746478864,0.3653846153846152,0.5203141928494038,-0.38497652582159625,0.4423076923076925,0.8272842181292888
2024-10-31,AKRA.JK,GOTO.JK,-0.12903217007533796,0.030303030303030276,0.15933520037836824,-0.2774193636376273,0.06060606060606055,0.33802542424368787,-0.2935484398902808,0.2575757575757578,0.5511241974660386
2024-11-30,ADRO.JK,GOTO.JK,-0.08784884476233135,0.044117647058823595,0.13196649182115494,0.06649346887381058,0.1911764705882355,0.12468300171442492,-0.13032728152020678,0.25000000000000044,0.3803272815202072
2024-12-31,AKRA.JK,BRPT.JK,-0.08943086501120334,0.07602339181286544,0.16545425682406878,0.008130214718212514,-0.08187134502923976,-0.09000155974745228,0.0783832133752258,0.4736842105263157,0.3953009971510899
2025-01-31,ADRO.JK,BRPT.JK,-0.0411522603210831,0.0,0.0411522603210831,-0.24074080944229814,-0.2282608695652174,0.012479939877080737,-0.18264736339773935,0.8043478260869563,0.9869951894846957
2025-02-28,ADRO.JK,MAPI.JK,-0.11158806447685554,0.11673153986965223,0.22831960434650778,-0.184549419324485,0.0622568212638146,0.24680624058829959,-0.13825162554064319,-0.07810806428456984,0.06014356125607334
2025-03-31,ADRO.JK,BBRI.JK,-0.1086956537518412,0.2053572710073277,0.3140529247591689,0.06280194779578085,0.4012524662010182,0.3384505184052373,-0.07982276849786474,0.27529729235311473,0.35512006085097947
2025-04-30,ADRO.JK,SMGR.JK,0.029810314875807764,-0.01509428074197261,-0.044904595617780374,0.07651332610394501,0.05135100533722703,-0.025162320766717983,-0.005842823670134001,0.10997647960478663,0.11581930327492063
2025-05-31,ADRO.JK,INTP.JK,0.1578947368421053,0.04672897196261672,-0.1111657648794886,0.05677571992834807,0.028894795507159454,-0.027880924421188613,0.0767688179032584,0.2248747565561422,0.1481059386528838
2025-06-30,ADRO.JK,MDKA.JK,-0.0971967934943252,-0.00990099009900991,0.08729580339531529,-0.13419689020089298,0.22277227722772275,0.35696916742861573,-0.10706345863117062,0.1287128712871286,0.23577632991829922
2025-07-31,ADRO.JK,ESSA.JK,0.0109289968858588,0.0862068965517242,0.0752778996658654,-0.07650267560749824,0.2068965517241379,0.28339922733163614,0.06882935798582857,0.0431034482758621,-0.025725909709966466
2025-08-31,ADRO.JK,ESSA.JK,-0.05135134629523275,-0.10317460317460314,-0.051823256879370394,0.018918960379091354,-0.023809523809523725,-0.04272848418861508,0.2909261590785366,0.039682539682539764,-0.2512436193959968
2025-09-30,ADRO.JK,ESSA.JK,-0.0370370165863525,0.23893805309734506,0.27597506968369756,0.03133903223796253,0.09734513274336276,0.06600610050540023,0.44085273745414044,0.14159292035398208,-0.29925981710015837
2025-10-31,ADRO.JK,MAPI.JK,0.11538463113751973,0.14666666666666672,0.03128203552914699,0.15737136400360385,0.035555555555555785,-0.12181580844804807,0.6497338045854597,0.07111111111111112,-0.5786226934743486
2025-11-30,ADRO.JK,GOTO.JK,-0.039787831525175954,0.06666666666666665,0.1064544981918426,0.2669566562960457,0.06666666666666665,-0.20028998962937905,0.5161068506690014,-0.09999999999999998,-0.6161068506690014
